level_file,level_name,algorithm,runs,found_runs,mean_time_sec,median_time_sec,mean_peak_memory_bytes,median_peak_memory_bytes,mean_expanded_nodes,mean_solution_length,mean_total_cost
level_01.json,Basic Open Arena,BFS,5,5,0.006099682800049777,0.006071163999877172,65414.4,65144.0,109.0,6.0,6.0
level_01.json,Basic Open Arena,DFS,5,5,0.004048260200033837,0.004051179000271077,55088.0,55088.0,71.0,49.0,49.0
level_01.json,Basic Open Arena,UCS,5,5,0.008774545800042688,0.008164148000105342,74408.0,74408.0,109.0,6.0,6.0
level_01.json,Basic Open Arena,A*,5,5,0.0029305684000064504,0.0029180169995015603,40208.0,40208.0,32.0,6.0,6.0
level_02.json,Soft Switch Branching Room,BFS,5,5,0.015927594999993744,0.015837989999454294,140931.2,140872.0,243.0,8.0,8.2
level_02.json,Soft Switch Branching Room,DFS,5,5,0.007454183800109604,0.0074681960004454595,100432.0,100432.0,112.0,93.0,93.60000000000001
level_02.json,Soft Switch Branching Room,UCS,5,5,0.022112662399740655,0.02128090299993346,160056.0,160056.0,243.0,8.0,8.2
level_02.json,Soft Switch Branching Room,A*,5,5,0.007015859800048929,0.007048544000099355,86464.0,86464.0,67.0,8.0,8.2
level_03.json,Fragile Weighted Routes,BFS,5,5,0.006056674000137719,0.005929304000346747,63420.8,63480.0,106.0,6.0,7.0
level_03.json,Fragile Weighted Routes,DFS,5,5,0.002673958000377752,0.0026328450003347825,42680.0,42680.0,45.0,40.0,44.0
level_03.json,Fragile Weighted Routes,UCS,5,5,0.007835481399888522,0.007789883999976155,73464.0,73464.0,106.0,6.0,6.0
level_03.json,Fragile Weighted Routes,A*,5,5,0.002487461199780228,0.0024926669993874384,37472.0,37472.0,26.0,6.0,6.0
level_04.json,Heavy Switch Branching Room,BFS,5,5,0.012458721999973933,0.012083321000318392,129483.2,129424.0,196.0,12.0,12.2
level_04.json,Heavy Switch Branching Room,DFS,5,5,0.008746151800187363,0.008711731000403233,117960.0,117960.0,140.0,86.0,86.2
level_04.json,Heavy Switch Branching Room,UCS,5,5,0.01570875639990845,0.015493679999963206,146648.0,146648.0,196.0,12.0,12.2
level_04.json,Heavy Switch Branching Room,A*,5,5,0.012769490999926348,0.012469633999899088,98720.0,98720.0,145.0,12.0,12.2
level_05.json,Two Switches Two Bridges,BFS,5,5,0.02847761820012238,0.028494901999692956,245195.2,245136.0,399.0,14.0,14.399999999999999
level_05.json,Two Switches Two Bridges,DFS,5,5,0.024943316800090543,0.024179952999475063,242152.0,242152.0,330.0,97.0,97.4
level_05.json,Two Switches Two Bridges,UCS,5,5,0.038774073399690676,0.038716291999662644,276504.0,276504.0,399.0,14.0,14.399999999999999
level_05.json,Two Switches Two Bridges,A*,5,5,0.025985726799990515,0.02606407700022828,207256.0,207256.0,240.0,14.0,14.399999999999999
level_06.json,Split Switch,BFS,5,5,0.0029052209998553734,0.0028896459998577484,37283.2,37344.0,48.0,7.0,8.0
level_06.json,Split Switch,DFS,5,5,0.0010692138001104467,0.0010736220001490437,16904.0,16904.0,19.0,15.0,16.0
level_06.json,Split Switch,UCS,5,5,0.00450151460008783,0.004401568000503175,49632.0,49632.0,58.0,7.0,7.5
level_06.json,Split Switch,A*,5,5,0.00461081280009239,0.004601233999892429,50528.0,50528.0,58.0,7.0,7.5
level_07.json,Fragile Soft Bridge Alternatives,BFS,5,5,0.01576752979999583,0.015742488999421766,136209.6,136208.0,251.0,10.0,11.2
level_07.json,Fragile Soft Bridge Alternatives,DFS,5,5,0.008492257399848314,0.008462861999760207,112888.0,112888.0,128.0,108.0,116.9
level_07.json,Fragile Soft Bridge Alternatives,UCS,5,5,0.02073282779983856,0.020337513999947987,153128.0,153128.0,242.0,10.0,10.7
level_07.json,Fragile Soft Bridge Alternatives,A*,5,5,0.010597760000018752,0.010659460000169929,108232.0,108232.0,105.0,10.0,10.7
level_08.json,Split Fragile Soft Bridge,BFS,5,5,0.003244369800268032,0.0032542970002396032,40369.6,40312.0,47.0,7.0,8.7
level_08.json,Split Fragile Soft Bridge,DFS,5,5,0.0012437967998266686,0.0011833749995275866,17880.0,17880.0,19.0,15.0,17.6
level_08.json,Split Fragile Soft Bridge,UCS,5,5,0.005522180200023286,0.0056201850002253195,60568.0,60568.0,60.0,7.0,8.2
level_08.json,Split Fragile Soft Bridge,A*,5,5,0.005564468600277905,0.0055160709998745006,61520.0,61520.0,60.0,7.0,8.2
level_09.json,Fragile Alternative Routes,BFS,5,5,0.004079231999821786,0.0037046639999971376,42283.2,42400.0,69.0,10.0,12.5
level_09.json,Fragile Alternative Routes,DFS,5,5,0.0033823204001237174,0.00330679400030931,43856.0,43856.0,63.0,44.0,50.0
level_09.json,Fragile Alternative Routes,UCS,5,5,0.004111336000278243,0.004101564000848157,45104.0,45104.0,61.0,10.0,10.0
level_09.json,Fragile Alternative Routes,A*,5,5,0.002899486199748935,0.0028270430002521607,35336.0,35336.0,36.0,10.0,10.0
level_10.json,Basic Maze With Loops,BFS,5,5,0.004188415999851714,0.004191727000034007,50648.0,50648.0,80.0,10.0,10.0
level_10.json,Basic Maze With Loops,DFS,5,5,0.0036775223998120055,0.003622362999522011,50384.0,50384.0,68.0,62.0,62.0
level_10.json,Basic Maze With Loops,UCS,5,5,0.005479573000047822,0.0053243769998516655,57216.0,57216.0,80.0,10.0,10.0
level_10.json,Basic Maze With Loops,A*,5,5,0.004138289600086864,0.004140420999647176,43400.0,43400.0,55.0,10.0,10.0
